,CantonCode,MunicipalityCode
1681,FR,2228
1682,BE,311
1683,BE,410
1684,SG,3379
1685,LU,1010
1686,BE,502
1687,VD,5805
1688,LU,1142
1689,BE,393
1690,GE,6607
1691,BE,561
1692,BE,671
1693,BE,723
1694,TI,5250
1695,FR,2295
1696,BE,670
1697,NE,6512
1698,BE,738
1699,SG,3217
1700,TI,5079
1701,GR,3947
1702,BE,700
1703,GE,6633
1704,BL,2842
1705,LU,1081
1706,SO,2461
1707,AG,4252
1708,ZH,92
1709,BE,582
1710,SG,3401
1711,OW,1405
1712,FR,2138
1713,BE,563
1714,TG,4951
1715,TG,4646
1716,FR,2220
1717,TG,4756
1718,SZ,1344
1719,SG,3339
1720,OW,1404
1721,ZG,1707
1722,VS,6087
1723,BL,2762
1724,VS,6252
1725,JU,6729
1726,ZH,193
1727,BL,2771
1728,BE,886
1729,BL,2869
1730,SZ,1301
1731,BE,740
1732,BL,2829
1733,LU,1104
1734,TG,4941
1735,ZH,155
1736,GR,3982
1737,TG,4864
1738,AI,3102
1739,LU,1100
1740,SG,3443
1741,ZH,242
1742,SZ,1372
1743,AG,4193
1744,BE,902
1745,ZH,195
1746,SG,3342
1747,ZH,296
1748,ZH,121
1749,SO,2544
1750,UR,1202
1751,AR,3002
1752,BE,533
1753,OW,1402
1754,TI,5238
1755,VS,6152
1756,BE,611
1757,FR,2305
1758,BL,2891
1759,AG,4082
1760,TG,4446
1761,SG,3238
1762,GL,1631
1763,BE,794
1764,BL,2828
1765,GR,3787
1766,VD,5583
1767,BE,792
1768,NE,6436
1769,ZH,53
1770,LU,1040
1771,TG,4436
1772,VS,6154
1773,GL,1632
1774,AG,4038
1775,VS,6139
1776,NE,6437
1777,AG,4173
1778,ZG,1711
1779,VD,5627
1780,VD,5585
1781,VD,5643
1782,SO,2519
1783,ZH,101
1784,LU,1066
1785,TG,4901
1786,BE,713
1787,BE,981
1788,BE,361
1789,SG,3340
1790,BE,749
1791,TI,5050
1792,BE,337
1793,NE,6408
1794,BE,415
1795,TG,4781
1796,VD,5724
1797,AG,4310
1798,LU,1021
1799,TI,5226
1800,NW,1508
1801,LU,1065
1802,SO,2497
1803,ZH,298
1804,AG,4123
1805,TG,4641
1806,TI,5398
1807,TG,4683
1808,VD,5678
1809,NE,6417
1810,BL,2761
1811,SG,3407
1812,VD,5831
1813,ZH,154
1814,GR,3834
1815,SO,2575
1816,VD,5886
1817,JU,6800
1818,AG,4106
1819,SO,2502
1820,SG,3275
1821,BE,546
1822,VD,5883
1823,ZG,1704
1824,GR,3731
1825,NE,6461
1826,FR,2183
1827,TI,5212
1828,VD,5721
1829,VD,5635
1830,AG,4209
1831,VD,5591
1832,AI,3111
1833,TI,5310
1834,ZH,62
1835,GR,3619
1836,BE,581
1837,AG,4092
1838,TG,4476
1839,BE,406
1840,ZH,223
1841,LU,1030
1842,BL,2787
1843,LU,1097
1844,TG,4461
1845,SG,3359
1846,TI,5120
1847,SG,3423
1848,GE,6636
1849,BE,627
1850,VD,5552
1851,NE,6487
1852,SZ,1362
1853,SO,2403
1854,LU,1103
1855,AR,3025
1856,VD,5727
1857,BE,861
1858,FR,2275
1859,TI,5196
1860,TI,5281
1861,AG,4271
1862,BE,938
1863,ZH,153
1864,LU,1107
1865,NE,6413
1866,LU,1024
1867,VS,6266
1868,GE,6630
1869,AG,4012
1870,AG,4009
1871,BE,843
1872,TG,4551
1873,ZG,1703
1874,SO,2578
1875,ZH,97
1876,VS,6285
1877,TI,5161
1878,TI,5167
1879,SO,2601
1880,BE,947
1881,GR,3640
1882,VD,5606
1883,ZH,90
1884,AR,3032
1885,ZH,119
1886,GR,3832
1887,SO,2513
1888,SO,2613
1889,LU,1063
1890,FR,2122
1891,TG,4841
1892,GR,3575
1893,AR,3001
1894,TI,5194
1895,LU,1054
1896,TI,5002
1897,LU,1058
1898,ZH,192
1899,SG,3292
1900,VS,6156
1901,GE,6612
1902,GR,3955
1903,SG,3274
1904,VD,5928
1905,TI,5017
1906,ZH,66
1907,BE,626
1908,VD,5757
1909,ZH,35
1910,BE,743
1911,VS,6133
1912,SO,2407
1913,SG,3234
1914,TG,4691
1915,OW,1407
1916,FR,2198
1917,SZ,1331
1918,TG,4421
1919,FR,2309
1920,BL,2768
1921,GR,3981
1922,ZH,251
1923,VD,5401
1924,ZH,52
1925,VD,5804
1926,BL,2765
1927,VD,5485
1928,TI,5115
1929,TG,4724
1930,AG,4186
1931,SO,2556
1932,VS,6007
1933,BE,576
1934,ZH,69
1935,AG,4125
1936,GE,6632
1937,TI,5236
1938,LU,1026
1939,TI,5176
1940,BE,331
1941,BL,2773
1942,BE,301
1943,ZH,200
1944,ZH,94
1945,AG,4045
1946,FR,2197
1947,BE,748
1948,TI,5239
1949,LU,1088
1950,FR,2125
1951,LU,1052
1952,SZ,1346
1953,SG,3294
1954,NE,6458
1955,GE,6644
1956,AG,4161
1957,BE,703
1958,VD,5422
1959,JU,6704
1960,ZH,199
1961,BL,2767
1962,NW,1509
1963,TI,5091
1964,VD,5872
1965,TI,5242
1966,SH,2904
1967,GE,6602
1968,BE,446
1969,SG,3296
1970,GR,3582
1971,TG,4566
1972,SG,3203
1973,BL,2770
1974,SZ,1364
1975,VS,6240
1976,BE,928
1977,BE,310
1978,JU,6711
1979,SG,3254
1980,LU,1125
1981,LU,1137
1982,LU,1127
1983,ZH,243
1984,BL,2831
1985,ZH,250
1986,VD,5451
1987,ZH,295
1988,VD,5428
1989,VD,5890
1990,VD,5905
1991,ZH,293
1992,LU,1053
1993,AG,4040
1994,VD,5806
1995,GR,3901
1996,SZ,1322
1997,BE,362
1998,AG,4280
1999,ZH,117
2000,FR,2113
2001,SZ,1323
2002,BE,306
2003,NE,6416
2004,VD,5607
2005,FR,2196
2006,SG,3394
2007,SG,3408
2008,VS,6023
2009,BE,552
2010,BE,929
2011,BE,329
2012,TG,4946
2013,BE,768
2014,BE,544
2015,ZH,245
2016,VD,5938
2017,TG,4751
2018,ZH,120
2019,VD,5589
2020,ZH,247
2021,TI,5072
2022,BE,632
2023,BE,992
2024,GE,6619
2025,BE,363
2026,VD,5902
2027,ZH,112
2028,ZH,61
2029,ZH,177
2030,SG,3216
2031,VD,5624
2032,VD,5415
2033,AG,4075
2034,BE,565
2035,BE,995
2036,VD,5590
2037,VD,5654
2038,BE,983
2039,VS,6037
2040,VS,6136
2041,GE,6608
2042,UR,1207
2043,BE,755
2044,SO,2534
2045,FR,2186
2046,SO,2532
2047,TI,5187
2048,AG,4072
2049,NE,6421
2050,ZH,291
2051,ZH,96
2052,BE,602
2053,VS,6034
2054,GE,6623
2055,BE,763
2056,BE,551
2057,UR,1217
2058,TI,5141
2059,FR,2055
2060,VS,6021
2061,BE,942
2062,VD,5841
2063,FR,2307
2064,VD,5892
2065,SH,2938
2066,BE,594
2067,ZH,131
2068,UR,1201
2069,VS,6140
2070,BL,2784
2071,AG,4001
2072,TI,5151
2073,VD,5586
2074,ZH,141
2075,GL,1630
2076,SG,3392
2077,NW,1507
2078,NE,6454
2079,ZH,297
2080,AG,4146
2081,SG,3442
2082,BE,939
2083,LU,1061
2084,SO,2517
2085,TI,5192
2086,GR,3962
2087,VS,6300
2088,ZH,230
2089,AG,4201
2090,SO,2401
2091,BE,608
2092,SO,2573
2093,AG,4034
2094,BE,616
2095,AG,4202
2096,LU,1089
2097,GE,6621
2098,VD,5732
2099,VD,5413
2100,SH,2939
2101,ZG,1702
2102,VS,6248
2103,SO,2581
2104,BE,371
2105,GE,6628
2106,SO,2422
2107,BE,355
2108,ZH,191
2109,AG,4104
2110,BE,351
2111,SG,3426
2112,BE,404
2113,ZH,198
2114,BE,413
2115,AG,4184
2116,TG,4431
2117,BS,2701
2118,VD,5582
2119,AG,4006
2120,GE,6643
2121,AR,3038
2122,VD,5482
2123,ZH,261
2124,FR,2117
