Geo Point;Geo Shape;Id_Strassentyp/Weg;Strassenname;Strassennetzhierarchie;Strassennetzhierarchien Beschreibung;Gemeinde;Kategorie;Weg
47.55919919527341, 7.596332800114834;"{""coordinates"": [[7.595992407599923, 47.559444160677124], [7.596065794320538, 47.55939150221588], [7.59667311048759, 47.558954115604166]], ""type"": ""LineString""}";4616;Rebgasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.570674254477794, 7.664114611830848;"{""coordinates"": [[7.664116938443148, 47.57023213562077], [7.664113471621281, 47.570257666490306], [7.664080901201348, 47.57049685437367], [7.664062327970147, 47.57063322600509], [7.664056089665848, 47.57067904305325], [7.664109044488096, 47.57082254298408], [7.664157478850288, 47.570927828386836], [7.66423589236681, 47.57109843989148]], ""type"": ""LineString""}";4622;Anstaltsweg;;;Bettingen;;
47.548151926672105, 7.60933243607664;"{""coordinates"": [[7.609396494074236, 47.54821726691834], [7.609268378079043, 47.54808658642587]], ""type"": ""LineString""}";4633;Karl Barth-Platz;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.55030699242813, 7.57420778356464;"{""coordinates"": [[7.574652689332807, 47.550770812547924], [7.573796475528394, 47.54987819784789], [7.573762870675742, 47.54984317914014]], ""type"": ""LineString""}";6266;Marschalkenstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.54710942938358, 7.570688609020298;"{""coordinates"": [[7.570897613714276, 47.547263807396426], [7.570794402031757, 47.547189527999286], [7.570572562130484, 47.5470214069451], [7.570479149220351, 47.54695569622571]], ""type"": ""LineString""}";6271;Marschalkenstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.54664802754709, 7.570065621374092;"{""coordinates"": [[7.570479149220351, 47.54695569622571], [7.570376381954056, 47.546883394574344], [7.569705353771423, 47.54637581408542], [7.569688838517449, 47.54636336728619], [7.569671991715268, 47.5463511367074], [7.569653602526666, 47.54633828728885]], ""type"": ""LineString""}";6272;Marschalkenstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.56667566792744, 7.647451504416446;"{""coordinates"": [[7.647852232741537, 47.56693938617017], [7.647836643321258, 47.56691182147557], [7.647821669600389, 47.56688537988637], [7.647794237944407, 47.56683695306309], [7.647785226447749, 47.56682293906198], [7.647774410085514, 47.5668095308829], [7.647761855724545, 47.56679683632968], [7.647747683314747, 47.56678494512342], [7.647731986299283, 47.56677396502025], [7.647714924422246, 47.56676396768227], [7.647696591090796, 47.56675505187195], [7.647677159301506, 47.56674728023398], [7.647656788726868, 47.566740706443284], [7.647635612497399, 47.56673539321632], [7.647613830115183, 47.56673138516292], [7.647591614399362, 47.56672869995989], [7.647376668716883, 47.56670752778277], [7.647258306391194, 47.56664951471417], [7.647198001501094, 47.56660158736766], [7.647172741133456, 47.56658149570474], [7.647174029949808, 47.56642860020031], [7.647146165657412, 47.566364479954835], [7.647140868974893, 47.566352275976456]], ""type"": ""LineString""}";534;Eulenweg;;;Riehen;;
47.583126987138066, 7.653546134144653;"{""coordinates"": [[7.653308756089524, 47.58362784392269], [7.653354435804595, 47.58350060725057], [7.653463369704249, 47.58319722083036], [7.653495845385801, 47.583121811961405], [7.653538100143809, 47.58304865142926], [7.653589817317004, 47.582978333389946], [7.653650587021858, 47.58291140720185], [7.653719932883913, 47.5828484133512], [7.653896336821109, 47.58270310033852]], ""type"": ""LineString""}";541;Mohrhaldenstrasse;;;Riehen;;
47.55881537246883, 7.588734810628735;"{""coordinates"": [[7.588781558100395, 47.55883382585869], [7.588688063157073, 47.558796919078965]], ""type"": ""LineString""}";1486;Martinskirchplatz;;;Basel;Wege;Gasse/Treppe/sonst. Weg
47.550886054699866, 7.592249042550435;"{""coordinates"": [[7.591957164543118, 47.551081773397804], [7.591990444883529, 47.55105946107317], [7.592483428022614, 47.55072888439682], [7.592540918678162, 47.55069033319865]], ""type"": ""LineString""}";1491;Hermann Kinkelin-Strasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.53548957570791, 7.596927013711607;"{""coordinates"": [[7.596849984235109, 47.535549928809445], [7.59688472569783, 47.535522711331716], [7.597004041503934, 47.53542922045683]], ""type"": ""LineString""}";1495;Löwenbergweglein;;;Basel;Wege;Gasse/Treppe/sonst. Weg
47.59036177375545, 7.639941445985607;"{""coordinates"": [[7.639943688902803, 47.59045216226864], [7.639950145372987, 47.590377027259635], [7.639943008899296, 47.590342540006674], [7.639937469244645, 47.59031196222441], [7.639927490158468, 47.5902921844805], [7.639918610899737, 47.590274968020935], [7.639918610763857, 47.59027493204661]], ""type"": ""LineString""}";607;Weilmattweg;;;Riehen;;
47.56471686562556, 7.673462242614084;"{""coordinates"": [[7.672389468361756, 47.56539669219448], [7.672385500822996, 47.565373748171616], [7.672376171840257, 47.56534028326622], [7.672348984527381, 47.565149526934505], [7.67234949586792, 47.5651176611221], [7.672353397542238, 47.56509833475001], [7.67236102535761, 47.56508328190549], [7.672373602396182, 47.56506960414878], [7.672386726890492, 47.56505955875735], [7.672448746874197, 47.565024169680655], [7.674116608973425, 47.56434774988672], [7.674136536411602, 47.56434071241359], [7.674157748304741, 47.56433566894467], [7.674187110659543, 47.56433174217528], [7.674217046410138, 47.56433127682419], [7.674239351704973, 47.56433310233763], [7.674261055146646, 47.56433705158709], [7.674281942103217, 47.56434266632745], [7.67430144247138, 47.564350235513686], [7.674319527449051, 47.56435925555599], [7.674335533558808, 47.56436993465526], [7.674349631394564, 47.56438178680523], [7.67436107711369, 47.56439487647015], [7.674378614585092, 47.56441829657912], [7.674606928072049, 47.56478712521615], [7.674656721124422, 47.56486269743757]], ""type"": ""LineString""}";610;Biräckerweg;;;Bettingen;;
47.55928812285222, 7.603292280425873;"{""coordinates"": [[7.60332362141022, 47.55878111108302], [7.603318521061064, 47.55886348287626], [7.603266698997433, 47.55970209543054], [7.60326094045779, 47.55979513468439]], ""type"": ""LineString""}";625;Rosengartenweg;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.572792582894145, 7.6375718046068375;"{""coordinates"": [[7.637489736435735, 47.57254146498842], [7.637506660173734, 47.5725536405215], [7.637525440746786, 47.57257192859196], [7.637539138533025, 47.57259216798217], [7.637547365770677, 47.572613729797816], [7.637599728030918, 47.572955454649076], [7.637608952059802, 47.57300905028967], [7.637618094621359, 47.573062178395695]], ""type"": ""LineString""}";628;Langenlängeweg;;;Riehen;;
47.57266429131538, 7.639373152299587;"{""coordinates"": [[7.638961213761259, 47.572684765800496], [7.638993711184816, 47.57267855818321], [7.639026409843419, 47.57267285385725], [7.639059296549426, 47.572667679826296], [7.639195272263462, 47.57265494439188], [7.639332409826436, 47.57265077778584], [7.639469526633855, 47.57265521801938], [7.639605453066387, 47.57266822214348], [7.639785470647877, 47.572690386450205]], ""type"": ""LineString""}";631;Wasserstelzenweg;;;Riehen;;
47.583113942587424, 7.65214358030918;"{""coordinates"": [[7.652249134878917, 47.58324347061229], [7.652191399275116, 47.58317910997266], [7.652122800988007, 47.58310080206661], [7.652094079505016, 47.58306861245568], [7.652071755379537, 47.58304394779744], [7.652074230664248, 47.583011476128824], [7.652118689170989, 47.58299686083219]], ""type"": ""LineString""}";5028;Eisenbahnweg;;;Riehen;;
47.55953765726905, 7.615072859380556;"{""coordinates"": [[7.615575388814311, 47.559648674881245], [7.615560445146016, 47.55963383994293], [7.615540681782656, 47.55962002861616], [7.615524032776185, 47.55961180665588], [7.615506046469168, 47.55960498974635], [7.615486764330522, 47.55960006348548], [7.615459912146494, 47.55959616500789], [7.614558079477294, 47.55945705779307]], ""type"": ""LineString""}";5031;Eisenbahnweg;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.576240040952975, 7.647308264969664;"{""coordinates"": [[7.646834736861206, 47.57631264697595], [7.646913759189858, 47.57630097569248], [7.64696464746395, 47.576293455835575], [7.647281878756092, 47.57624661508266], [7.647663535415799, 47.57618404473596], [7.647779762718671, 47.576156468156505]], ""type"": ""LineString""}";5037;Untere Wenkenhofstrasse;;;Riehen;;
47.56782338848542, 7.613885786690366;"{""coordinates"": [[7.613254245874596, 47.56832231864261], [7.613348565933433, 47.56824778130028], [7.614438144908181, 47.567386721484226], [7.614519541958691, 47.56732737504481]], ""type"": ""LineString""}";5040;Hirzbrunnenstrasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.565465138264464, 7.617079777881952;"{""coordinates"": [[7.616784084483886, 47.5656845150124], [7.617031538255246, 47.56550547613302], [7.617124998744284, 47.565435262916644], [7.617216315290152, 47.565363766809405], [7.617305461439132, 47.5652910238317], [7.617337149739297, 47.56526205142997], [7.61736683758724, 47.56523489881953]], ""type"": ""LineString""}";5045;Hirzbrunnenstrasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.56486208903927, 7.617757703935467;"{""coordinates"": [[7.617475560230625, 47.56513544131262], [7.617574346891404, 47.565045082617885], [7.617731046063918, 47.56489237130311], [7.617883911381594, 47.5647378759185], [7.618032863316293, 47.56458165056376]], ""type"": ""LineString""}";5047;Hirzbrunnenstrasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.56353886671617, 7.618890316085818;"{""coordinates"": [[7.618715756704205, 47.563777394672485], [7.618778755045941, 47.56369500471004], [7.619036610477441, 47.563335234497956], [7.619062743613687, 47.563298760450394]], ""type"": ""LineString""}";5049;Hirzbrunnenstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.549032633562966, 7.563079438174932;"{""coordinates"": [[7.56339481685472, 47.549120810710725], [7.5628894495196, 47.5489781063973], [7.562762417527533, 47.54895109843797]], ""type"": ""LineString""}";1076;General Guisan-Strasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.54865967431385, 7.560844790593743;"{""coordinates"": [[7.561532313180833, 47.54876098626193], [7.561426164302945, 47.54874529596702], [7.560281945071852, 47.5485761704644], [7.560156530968611, 47.54856448331623]], ""type"": ""LineString""}";1078;General Guisan-Strasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.56050314647766, 7.604223109396963;"{""coordinates"": [[7.604313255734187, 47.55985506103244], [7.604297187570666, 47.55992642212739], [7.604162321530523, 47.56097035364996], [7.604142159057577, 47.56115269406256]], ""type"": ""LineString""}";1084;Peter Rot-Strasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.53169482235623, 7.5968280940731505;"{""coordinates"": [[7.596873023002255, 47.53173817717513], [7.596843402949213, 47.53170920336681], [7.596813292271345, 47.53168046405626], [7.596782704222145, 47.53165195023124]], ""type"": ""LineString""}";1102;Fritz Hauser-Strasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.5612915342641, 7.590785886805237;"{""coordinates"": [[7.590794717926564, 47.5612795765378], [7.590785452632521, 47.561292116884076], [7.590777060979523, 47.561303495899374]], ""type"": ""LineString""}";1104;Untere Rheingasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.553671625061234, 7.579150077130119;"{""coordinates"": [[7.579690921028773, 47.553298437323356], [7.578679184675161, 47.553996545924214], [7.578609230876105, 47.55404480938541]], ""type"": ""LineString""}";1542;Feierabendstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.545034990005306, 7.581094143142913;"{""coordinates"": [[7.580988774664197, 47.5450847329035], [7.581199511621628, 47.54498524710712]], ""type"": ""LineString""}";1546;Pruntruterstrasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.54807844240011, 7.578675605709897;"{""coordinates"": [[7.578343376165874, 47.548002083667136], [7.578374264570472, 47.548008486183235], [7.578399679478945, 47.54800451645369], [7.578419045217686, 47.54799862930649], [7.578439283762823, 47.547996320625884], [7.578467795657184, 47.547998139149115], [7.578494329268502, 47.548005419250615], [7.579002602204184, 47.548194945509664]], ""type"": ""LineString""}";2460;-;;;Basel;Wege;Weg in Parkanlage/Promenade
47.547401915578014, 7.579332470104933;"{""coordinates"": [[7.57926711393128, 47.54747410962326], [7.579378584714915, 47.547355752111145], [7.579379591963392, 47.54733974199876], [7.579378217437483, 47.54732221481576]], ""type"": ""LineString""}";2463;-;;;Basel;Wege;Weg in Parkanlage/Promenade
47.567485837665295, 7.638061051125497;"{""coordinates"": [[7.638113584463524, 47.5681092994841], [7.638010123301307, 47.5668814304198], [7.638008524025617, 47.56686242044897], [7.638008523857459, 47.56686237548068]], ""type"": ""LineString""}";2464;-;;;Riehen;;
47.54715426955339, 7.599136080039502;"{""coordinates"": [[7.599185158082407, 47.54726068887366], [7.599173137712002, 47.54724346438942], [7.599164052423252, 47.54723045393576], [7.599146490454403, 47.547199197815175], [7.599132579007019, 47.54716710923543], [7.599122411627848, 47.54713437693803], [7.599115861258793, 47.54710292576518], [7.599113228793127, 47.54707121736871], [7.599114528129089, 47.54703945858652]], ""type"": ""LineString""}";2469;-;;;Basel;Wege;Weg in Parkanlage/Promenade
47.548300558051636, 7.580898782573299;"{""coordinates"": [[7.581236498310775, 47.54852206263874], [7.581236445127032, 47.54852204471627], [7.581218734845565, 47.548516040560095], [7.581200110151363, 47.54850587340911], [7.581183516873943, 47.54849531703961], [7.581168276164817, 47.548483859638104], [7.581154494535147, 47.548471591012586], [7.581142265163861, 47.54845858299966], [7.581131681277572, 47.54844492542345], [7.581118296577216, 47.548432053726465], [7.581097240353418, 47.54841667315033], [7.581072829858027, 47.54840375196473], [7.581043255051777, 47.54839200627128], [7.581021322791196, 47.548381861119], [7.581000742286014, 47.54837050914816], [7.580981633283471, 47.54835802216322], [7.580964155406054, 47.54834448091387], [7.580948428519923, 47.54833000217343], [7.580934545851153, 47.54831467576636], [7.580916996497895, 47.54829423638359], [7.580899136179013, 47.548281729873246], [7.580879008850793, 47.54827092594673], [7.580857317983424, 47.548261607894425], [7.580750228635456, 47.54820875625101], [7.580551741257581, 47.548088958330446]], ""type"": ""LineString""}";600157;-;;;Basel;Wege;Weg in Parkanlage/Promenade
47.57447412067482, 7.677202205121865;"{""coordinates"": [[7.67722472276107, 47.57435645957508], [7.67722472296249, 47.574356504543154], [7.67722109954612, 47.57437539874821], [7.67717968520797, 47.57459178219548]], ""type"": ""LineString""}";2476;-;;;Riehen;;
47.57616437746545, 7.606418343285912;"{""coordinates"": [[7.606664701198123, 47.57662112230987], [7.60664326195013, 47.576574431091096], [7.606626432006106, 47.576526878823444], [7.606614291779611, 47.57647868124113], [7.606584548224695, 47.576394768170424], [7.60654700751395, 47.576312296320026], [7.606501803664584, 47.57623160724909], [7.606408577286119, 47.576095136592166], [7.60629607448553, 47.575965483816844], [7.606165375781783, 47.57584387944816], [7.606136910890031, 47.57581977235063], [7.606107358073389, 47.57579626938583], [7.60607674397024, 47.57577338850199]], ""type"": ""LineString""}";2481;-;;;Basel;Wege;Waldweg
47.54967894966483, 7.619623699211852;"{""coordinates"": [[7.618990075448562, 47.54852519201316], [7.618990128614652, 47.54852520092452], [7.619016277457496, 47.548526959164015], [7.619073692421256, 47.548539200642004], [7.61911377999495, 47.54854994001525], [7.619152294828985, 47.54856305616797], [7.619188917778136, 47.548578450665254], [7.619223382740522, 47.548595998008885], [7.619255383730796, 47.54861556376904], [7.619291150466617, 47.5486370033738], [7.619324107701802, 47.548660416963095], [7.619354042283701, 47.54868562499493], [7.619380727804732, 47.54871245694147], [7.619403977616442, 47.548740715231865], [7.619423618353061, 47.548770202274525], [7.61943951643863, 47.54880070242833], [7.6194515648642, 47.548832000010506], [7.619459656619974, 47.54886387933815], [7.619463751054625, 47.54889610663717], [7.619476365462092, 47.54895328739595], [7.619496004077892, 47.54900954886923], [7.619522532771778, 47.54906450453006], [7.619555777528542, 47.54911775891851], [7.619595498001168, 47.54916894365814], [7.619641400733278, 47.54921769944811], [7.619693179010958, 47.54926367600136], [7.619880398573547, 47.54941786157702], [7.620092576903967, 47.549594474365115], [7.620141654205844, 47.54963506765816], [7.620185254597774, 47.54967843055709], [7.620223044835098, 47.549724230818484], [7.620254718115463, 47.54977210018219], [7.620280047369143, 47.549821679256965], [7.620287650425898, 47.54985029454285], [7.620291734263606, 47.54987923909501], [7.6202922849187, 47.549908315072926], [7.620289301711778, 47.549937324614746], [7.620282797247764, 47.54996606983785], [7.62027282398466, 47.54999435279691], [7.620259447695794, 47.55002198451949], [7.620242747439355, 47.55004877601197], [7.620222855411466, 47.550074538197755], [7.620198112290383, 47.55010353670676], [7.620169537534588, 47.55013085935155], [7.62013736952462, 47.550156289907406], [7.620101886495764, 47.550179612087376], [7.62006338000009, 47.55020061857755], [7.620022181597417, 47.55021914697063], [7.619978649356881, 47.5502350168308], [7.619881843590755, 47.55025392857588], [7.619783616850691, 47.550269083058396], [7.61968426119871, 47.550280416864204], [7.619228091635459, 47.55032887327775], [7.618755310064994, 47.550371732493986], [7.618734467591423, 47.55037198058917], [7.618710732074806, 47.55037704481787], [7.618692798598709, 47.55037326819455]], ""type"": ""LineString""}";2847;-;;;Basel;Wege;Weg in Parkanlage/Promenade
47.57580511586423, 7.615763044759111;"{""coordinates"": [[7.615752158408701, 47.5758758370322], [7.615762160691456, 47.57583809334406], [7.615767192995684, 47.575752564805605], [7.615768312703644, 47.57573354147314], [7.615768325845053, 47.575733496484766]], ""type"": ""LineString""}";2848;-;;;Basel;Wege;Waldweg
47.5769240198227, 7.6773212920632705;"{""coordinates"": [[7.677049458972693, 47.57564764861441], [7.677049459173971, 47.575647693582475], [7.677045725745596, 47.575662828632915], [7.677044026026989, 47.5757166144247], [7.677048592642764, 47.57578666596334], [7.677047837291543, 47.57585842821645], [7.677041410769657, 47.575913275954555], [7.677029967682276, 47.576052926537685], [7.67702681091717, 47.576131582875846], [7.677040875805512, 47.57618869099823], [7.677087151250163, 47.57626210161967], [7.677156502575522, 47.576350934061836], [7.677215564427864, 47.576418445526755], [7.677269902612805, 47.576490661359145], [7.677310521624045, 47.57658001132059], [7.677322890273189, 47.57665890560733], [7.677319651164173, 47.57674579133562], [7.677305731868521, 47.5769140739107], [7.677291112472191, 47.577041814343765], [7.677303356508498, 47.57715220478573], [7.677337511587916, 47.57721968632648], [7.677392955601349, 47.5772893096296], [7.677477242115203, 47.57737679811626], [7.677541933499878, 47.57744856084373], [7.677578726940863, 47.577502609307416], [7.677598993895531, 47.57756135943493], [7.677599763633291, 47.5776173885484], [7.677595535979603, 47.57768529959827], [7.677573983846543, 47.57783486397181], [7.677564812499839, 47.57789997913815], [7.677552109427001, 47.57800742585925], [7.677531750160296, 47.57820370997127]], ""type"": ""LineString""}";2852;-;;;Riehen;;
47.52731875311565, 7.603228959007895;"{""coordinates"": [[7.603219516465074, 47.52730518341709], [7.603219543133171, 47.52730521935473], [7.603229270863573, 47.52732065700437], [7.60323984652139, 47.52733116483506]], ""type"": ""LineString""}";2857;-;;;Basel;;
47.56509068841491, 7.570087608420644;"{""coordinates"": [[7.57001856129592, 47.56504200011919], [7.570074854363518, 47.56508170687548], [7.57015666503156, 47.56513936325611]], ""type"": ""LineString""}";2859;-;;;Basel;Wege;Weg in Parkanlage/Promenade
47.53906812745729, 7.593194415339713;"{""coordinates"": [[7.593276263746384, 47.539199716113494], [7.59313265039853, 47.53897508885857], [7.593136081301773, 47.538930636989676]], ""type"": ""LineString""}";3225;Ingelsteinweglein;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.58481123727166, 7.650496880293608;"{""coordinates"": [[7.649896041449308, 47.58481436200525], [7.650194438748799, 47.58479273892809], [7.650717752922303, 47.58481740058045], [7.651058727754348, 47.584832472763395], [7.651098118939445, 47.58483340816059]], ""type"": ""LineString""}";3226;Schmiedgasse;;;Riehen;;
47.58438123081033, 7.652855495862632;"{""coordinates"": [[7.652809555131371, 47.584397559752944], [7.652834523558272, 47.584388682032646], [7.652862637943671, 47.58437869229653], [7.652901437901385, 47.58436490554619]], ""type"": ""LineString""}";3231;Schmiedgasse;;;Riehen;;
47.53112217645994, 7.59203903277503;"{""coordinates"": [[7.592033044878943, 47.53116884096005], [7.592037098793719, 47.53113772601113], [7.59204099334884, 47.531106611271646], [7.592044967705914, 47.531075541395666], [7.592044967602622, 47.5310755054205]], ""type"": ""LineString""}";3236;C.F. Meyer-Strasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.52963118925994, 7.59208842483635;"{""coordinates"": [[7.592087971662857, 47.53009226257831], [7.592088764805021, 47.52928646914908], [7.592088868857248, 47.52917011593298]], ""type"": ""LineString""}";3238;C.F. Meyer-Strasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.55259115901093, 7.571462121090812;"{""coordinates"": [[7.571623969844694, 47.55272388875172], [7.57130027233693, 47.55245842927014]], ""type"": ""LineString""}";3240;Wielandplatz;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.55289501970333, 7.5718206870549665;"{""coordinates"": [[7.572003191548869, 47.55308089409435], [7.571855722522851, 47.55291394089162], [7.571623969844694, 47.55272388875172]], ""type"": ""LineString""}";3244;Wielandplatz;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.552644062296906, 7.5718348564500735;"{""coordinates"": [[7.572045743055453, 47.5525642358421], [7.571623969844694, 47.55272388875172]], ""type"": ""LineString""}";3246;Wielandplatz;HSS;Hauptsammelstrassen;Basel;verkehrsorientierte Strasse;
47.552981808168, 7.570942594613693;"{""coordinates"": [[7.571002998489401, 47.552958945016876], [7.570882190737983, 47.55300467131912]], ""type"": ""LineString""}";3247;Wielandplatz;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.552952198636774, 7.570924639645975;"{""coordinates"": [[7.571002998489401, 47.552958945016876], [7.570846280802548, 47.552945452256665]], ""type"": ""LineString""}";3248;Wielandplatz;HSS;Hauptsammelstrassen;Basel;verkehrsorientierte Strasse;
47.549522981493105, 7.6127934454977355;"{""coordinates"": [[7.613177265306654, 47.54943892323716], [7.612919994999095, 47.54949746227624], [7.612408938323558, 47.54960388481967]], ""type"": ""LineString""}";3250;Christoph Merian-Platz;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.5653753256434, 7.574261902956163;"{""coordinates"": [[7.57438386052829, 47.565338084830415], [7.574139945384037, 47.56541256645639]], ""type"": ""LineString""}";4754;Kannenfeldplatz;HSS;Hauptsammelstrassen;Basel;verkehrsorientierte Strasse;
47.56511429429849, 7.572988735691676;"{""coordinates"": [[7.572938251572859, 47.565343238571025], [7.572961249506756, 47.56510377273657], [7.573094627731515, 47.56490517301515]], ""type"": ""LineString""}";4759;Kannenfeldplatz;HVS;Hauptverkehrsstrassen;Basel;verkehrsorientierte Strasse;
47.58631781124, 7.652023733019922;"{""coordinates"": [[7.651819964460709, 47.58634928217574], [7.651820030927629, 47.586349282054016], [7.651856473177674, 47.5863471647535], [7.651892723521775, 47.586343599814796], [7.651928609215064, 47.586338605542046], [7.652022202872605, 47.58632058160265], [7.65222589236863, 47.58627587830277]], ""type"": ""LineString""}";4949;Gartengasse;;;Riehen;;
47.561734784067944, 7.606242052108407;"{""coordinates"": [[7.606414338783286, 47.56175628617582], [7.606299623189884, 47.56174158471986], [7.606184723728129, 47.561727548950095], [7.606097447580229, 47.56171742160372], [7.606069653737496, 47.56171419683435]], ""type"": ""LineString""}";4951;Schleifenbergstrasse;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.57540787830881, 7.611037069931806;"{""coordinates"": [[7.609714217100168, 47.575285485692184], [7.609908075580821, 47.575302189928344], [7.610793921375326, 47.575386935806854], [7.611170913734413, 47.57542017635214], [7.611413345193286, 47.575447463634035], [7.611681800034406, 47.575462417399194], [7.611722920046364, 47.57546604372156], [7.611954165299389, 47.57548641236525], [7.611990924749251, 47.57548965835157], [7.61219746375161, 47.57551851732847], [7.612358241535348, 47.5755428753971]], ""type"": ""LineString""}";4956;Wiesendamm-Promenade;;;Basel;Wege;Waldweg
47.579956467228804, 7.62704130621685;"{""coordinates"": [[7.625247531043161, 47.57886735321168], [7.625268602738713, 47.57888003649566], [7.625776178469174, 47.5791857082688], [7.626388626196942, 47.5795614583146], [7.627278573985848, 47.580101699768456], [7.62786394837813, 47.58045717807736], [7.628134396169447, 47.58062048598957], [7.628608706241691, 47.58090690792724], [7.628761152284958, 47.58099604717509], [7.628815961193008, 47.581031113914996], [7.628835204788432, 47.58104505864153], [7.628835244792963, 47.58104509455082]], ""type"": ""LineString""}";4959;Wiesendamm-Promenade;;;Riehen;;
47.580044864004115, 7.629636156992489;"{""coordinates"": [[7.629938241373469, 47.580337968570554], [7.629873431207309, 47.58028649634116], [7.629852779099083, 47.580265260231876], [7.629424628284258, 47.579829589723786], [7.629397498431018, 47.57980324674573], [7.629367792773053, 47.5797776814356], [7.629333886214118, 47.57975191614266]], ""type"": ""LineString""}";5590;Erlensträsschen;;;Riehen;;
47.56850638196791, 7.5877659087447205;"{""coordinates"": [[7.587609499169952, 47.5684998817301], [7.587922318319491, 47.56851288220572]], ""type"": ""LineString""}";4593;Bläsiring;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.56862135057779, 7.594154125213339;"{""coordinates"": [[7.59340172561733, 47.568617923813264], [7.594754091120622, 47.568620958910884], [7.59477858862632, 47.56862295867094], [7.594802599914415, 47.56862682976617], [7.594825554719514, 47.568632968683666], [7.594854105239865, 47.56864400166147], [7.59487944900076, 47.56865816873737], [7.594896056573432, 47.5686705217999]], ""type"": ""LineString""}";4599;Bläsiring;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.55505648210469, 7.563267705911348;"{""coordinates"": [[7.563730368121065, 47.55571847700424], [7.563144800102082, 47.55490919951257], [7.562857380024333, 47.55440010960978], [7.562841131557245, 47.554371346947065]], ""type"": ""LineString""}";4602;Im langen Loh;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.55261372881441, 7.5618490964151555;"{""coordinates"": [[7.562266148084845, 47.55335270612125], [7.561473384324369, 47.551948217087904], [7.561433916791832, 47.551873727463466]], ""type"": ""LineString""}";4604;Im langen Loh;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.55244049699752, 7.606317703141579;"{""coordinates"": [[7.606352783300083, 47.552514887775395], [7.606282622983076, 47.55236610621965]], ""type"": ""LineString""}";4611;Lindenweg;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
47.56071412304833, 7.594293487153857;"{""coordinates"": [[7.594018909210023, 47.560943301486205], [7.59414607447526, 47.56082279587375], [7.594577507881663, 47.56049608001527]], ""type"": ""LineString""}";4614;Rebgasse;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.591647687246684, 7.6658457578008665;"{""coordinates"": [[7.664913100059311, 47.591721795847185], [7.66495199231816, 47.59171981357356], [7.665621663927062, 47.591653737221534], [7.666779774142583, 47.59159136821803]], ""type"": ""LineString""}";4876;Stettenlochweg;;;Riehen;;
47.55353813316116, 7.576905607975978;"{""coordinates"": [[7.576696572401048, 47.55379605626075], [7.576855786098988, 47.5535916197986], [7.577027046635602, 47.553391692657506], [7.577124105910656, 47.55328823933213]], ""type"": ""LineString""}";569;Spalenring;HVS;Hauptverkehrsstrassen;Basel;verkehrsorientierte Strasse;
47.5565585571753, 7.575145185483541;"{""coordinates"": [[7.575355948982188, 47.556765226680184], [7.575220610347363, 47.55663251186733], [7.574934418248089, 47.55635189148125]], ""type"": ""LineString""}";570;Spalenring;ES;Erschliessungsstrassen;Basel;siedlungsorientierte Strasse;
