Geo Point;Geo Shape;Id_Strassentyp/Weg;Strassenname;Strassennetzhierarchie;Strassennetzhierarchien Beschreibung;Gemeinde;Kategorie;Weg
47.57342775236949, 7.661446378649012;"{""coordinates"": [[7.661047772362032, 47.57428330311872], [7.661046537273703, 47.57421347842077], [7.661049966829098, 47.57413721431133], [7.661062927546818, 47.57406141763939], [7.661085328644824, 47.5739866371909], [7.661116999564269, 47.5739134129083], [7.661157729766562, 47.5738422578275], [7.661630267224723, 47.57311164936926], [7.661741625868093, 47.57294985506261], [7.66186279222523, 47.572791306534995], [7.661993568125439, 47.572636300928785]], ""type"": ""LineString""}";4817;Im Wenkenberg;;;Riehen;;
47.57163394148053, 7.663230354237846;"{""coordinates"": [[7.663357374676059, 47.571551147546714], [7.663103333799631, 47.57171673541434]], ""type"": ""LineString""}";4818;Im Wenkenberg;;;Bettingen;;
47.5355200595622, 7.602131131695118;"{""coordinates"": [[7.602294151706559, 47.53537886216885], [7.602210514101118, 47.53544094700139], [7.602133742233208, 47.53550730318342], [7.602065283017272, 47.53557770385266], [7.602005586556682, 47.53565167172034], [7.601986348458846, 47.535679597488894]], ""type"": ""LineString""}";4819;Hechtliacker;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.5364882359698, 7.603500794759422;"{""coordinates"": [[7.603525249708111, 47.536489802839604], [7.60350082082346, 47.53648812860647], [7.603476326868356, 47.53648688616283]], ""type"": ""LineString""}";4824;Hechtliacker;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.53643617061403, 7.602941001168756;"{""coordinates"": [[7.602713861736817, 47.536563286085666], [7.602735953425378, 47.53655207566081], [7.602802414091578, 47.536518354160876], [7.602899960326971, 47.53647001881742], [7.602990316124666, 47.53641565869839], [7.603072686118382, 47.53635576060869], [7.603142159453354, 47.5362956378462], [7.603151701240999, 47.536284678908295]], ""type"": ""LineString""}";4826;Hechtliacker;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.535542602488874, 7.6031151929077145;"{""coordinates"": [[7.603151701240999, 47.536284678908295], [7.603166020569367, 47.536268244987376], [7.603525932584868, 47.53585502825227], [7.603541939675818, 47.53583472455633], [7.603555327780445, 47.535813561162136], [7.603566004463794, 47.535791709083746], [7.603573903769565, 47.53576931231621], [7.603578946572214, 47.535746550848316], [7.603581106786106, 47.53572357761194], [7.603580371634281, 47.5357005545139], [7.60357672842314, 47.53567767044201], [7.603570230723691, 47.535655069221], [7.603560905656415, 47.53563293068805], [7.603548833380957, 47.53561140762371], [7.603534094112057, 47.53559067079579], [7.603516794486451, 47.5355708459656], [7.603399480584534, 47.5354486782832], [7.603352754746886, 47.53540423404665], [7.603300831380987, 47.53536252226378], [7.60324405661905, 47.53532381225249], [7.60318282965652, 47.53528835526831], [7.603117536376675, 47.53525639359193], [7.603048615698397, 47.535228142448226], [7.602976519734547, 47.535203790062646], [7.602938796915175, 47.535193284567164], [7.602899885662806, 47.535184993212106], [7.602860078367383, 47.53517898753441], [7.602819653971751, 47.53517528512743], [7.602778918090199, 47.53517393952257], [7.602738162890311, 47.5351749503078], [7.60269766723142, 47.53517830809629], [7.602657749759563, 47.53518398545817], [7.602618702532279, 47.53519194600742], [7.602580777683007, 47.53520212643333], [7.602544293748798, 47.535214463331975], [7.602509476220491, 47.53522886644927], [7.602476603629434, 47.5352452184753], [7.602445914693781, 47.535263411150204], [7.602417621488713, 47.53528330927039], [7.602294151706559, 47.53537886216885]], ""type"": ""LineString""}";4827;Hechtliacker;QSS;Quartiersammelstrassen;Basel;siedlungsorientierte Strasse;
47.564167903498365, 7.609393020025545;"{""coordinates"": [[7.61079790555657, 47.56236360324159], [7.610767228247101, 47.56240997523722], [7.610568829162375, 47.5627098041174], [7.610518069487863, 47.562758912792475], [7.610465872439123, 47.5628073310484], [7.61041229113536, 47.56285504981117], [7.610236670217268, 47.563061957352616], [7.610067965928065, 47.56327148059629], [7.609906257733234, 47.563483520524215], [7.609390547207452, 47.56414369690324], [7.609378822413909, 47.56415878755585], [7.609354457786711, 47.564189545796], [7.609341843801636, 47.56422575498916], [7.609330290268276, 47.56426116218594], [7.609323721542899, 47.56429714666823], [7.609312850726879, 47.56433413575556], [7.609300865639743, 47.56437172905277], [7.609277640810019, 47.56440575931606], [7.609251331745915, 47.5644393533998], [7.609251291997201, 47.564439389432835], [7.609237686454215, 47.564456434459984], [7.609022471609503, 47.564726075192226], [7.608790095590391, 47.56501111981079], [7.608553978643572, 47.56529476636812], [7.608426930364495, 47.565432609350175], [7.608281196864716, 47.56556169254322], [7.608118063381476, 47.56568086281336], [7.607872758335938, 47.56585998739692]], ""type"": ""LineString""}";4829;Schwarzwaldstrasse;HVS;Hauptverkehrsstrassen;Basel;verkehrsorientierte Strasse;
47.58333294955708, 7.648386327859731;"{""coordinates"": [[7.647881518212036, 47.582892961520024], [7.647980389790566, 47.58297783682748], [7.648038444513747, 47.58302666692956], [7.648306007178281, 47.583251737376045], [7.648421704413051, 47.58335578345976], [7.648509324109612, 47.5834318917743], [7.648656291658769, 47.583564166301606], [7.648725185441838, 47.583634282479316], [7.64877424423188, 47.58369370498519], [7.64886348959361, 47.58380086520184]], ""type"": ""LineString""}";4831;Baselstrasse;HVS;Hauptverkehrsstrassen;Riehen;verkehrsorientierte Strasse;
47.58397332929571, 7.649011703071179;"{""coordinates"": [[7.64886348959361, 47.58380086520184], [7.649062590036517, 47.58403992569801], [7.64909738455977, 47.58407198814889], [7.649134023025708, 47.58410308493289], [7.649172465450469, 47.58413318913968]], ""type"": ""LineString""}";4832;Baselstrasse;HVS;Hauptverkehrsstrassen;Riehen;verkehrsorientierte Strasse;
47.58553923540529, 7.650204038538414;"{""coordinates"": [[7.650119120224568, 47.58533868287145], [7.650136347502952, 47.585378682336426], [7.650183619599229, 47.585496206477835], [7.650218184227054, 47.58557708655944], [7.650255113222878, 47.585657476672836], [7.650294393231759, 47.585737358852775]], ""type"": ""LineString""}";4838;Baselstrasse;HVS;Hauptverkehrsstrassen;Riehen;verkehrsorientierte Strasse;
