,Unnamed: 0,AccidentType,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,RoadType_en,AccidentLocation_CHLV95_E,AccidentLocation_CHLV95_N,CantonCode,MunicipalityCode,AccidentYear,AccidentMonth,AccidentMonth_en,AccidentWeekDay_en,AccidentHour
62808,62808,at6,Accident with head-on collision,as3,Accident with light injuries,False,True,False,rt433,Minor road,2694391,1211947,SZ,1372,2014,6,June,Sunday,18.0
166675,166675,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,True,False,rt433,Minor road,2698118,1257472,ZH,296,2020,5,May,Sunday,15.0
29219,29219,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2710675,1225898,SZ,1346,2012,7,July,Monday,16.0
158392,158392,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt432,Principal road,2712509,1244317,ZH,114,2019,10,October,Friday,17.0
200115,200115,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt433,Minor road,2706862,1279718,SH,2964,2022,4,April,Tuesday,16.0
212033,212033,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2693206,1249504,ZH,199,2022,11,November,Thursday,17.0
130077,130077,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt432,Principal road,2686585,1236490,ZH,137,2018,4,April,Thursday,12.0
112656,112656,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,True,False,rt433,Minor road,2693804,1247033,ZH,194,2017,4,April,Sunday,19.0
31652,31652,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,Principal road,2624939,1229748,BE,329,2012,9,September,Saturday,14.0
13495,13495,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,Motorway,2532754,1164030,VD,5471,2011,9,September,Friday,11.0
112889,112889,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2692462,1263763,ZH,223,2017,5,May,Friday,14.0
202831,202831,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,Principal road,2620374,1241654,SO,2422,2022,6,June,Wednesday,11.0
64949,64949,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt433,Minor road,2550981,1169152,VD,5678,2014,8,August,Monday,17.0
30775,30775,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,Principal road,2584817,1220168,BE,371,2012,8,August,Friday,17.0
94011,94011,at4,Accident when turning-into main road,as2,Accident with severe injuries,False,False,True,rt432,Principal road,2755829,1259924,SG,3216,2016,4,April,Monday,17.0
7357,7357,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,Principal road,2738824,1267639,TG,4461,2011,6,June,Wednesday,16.0
52438,52438,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt439,Other,2710292,1091964,TI,5239,2013,11,November,Tuesday,9.0
209778,209778,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,Principal road,2645798,1178355,BE,573,2022,9,September,Thursday,8.0
